year,final_date,home_team,away_team,home_score,away_score,score_display,champion,runner_up,penalty_winner,match_type,note,fifa_source_url,results_source_url
1930,1930-07-30,Uruguay,Argentina,4,2,4-2,Uruguay,Argentina,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1934,1934-06-10,Italy,Czechoslovakia,2,1,2-1,Italy,Czechoslovakia,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1938,1938-06-19,Hungary,Italy,2,4,2-4,Italy,Hungary,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1950,1950-07-16,Brazil,Uruguay,1,2,1-2,Uruguay,Brazil,,Final group decider,No official final was played in 1950; this was the decisive final-group match.,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1954,1954-07-04,Germany,Hungary,3,2,3-2,Germany,Hungary,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1958,1958-06-29,Sweden,Brazil,2,5,2-5,Brazil,Sweden,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1962,1962-06-17,Brazil,Czechoslovakia,3,1,3-1,Brazil,Czechoslovakia,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1966,1966-07-30,England,Germany,4,2,4-2,England,Germany,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1970,1970-06-21,Brazil,Italy,4,1,4-1,Brazil,Italy,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1974,1974-07-07,Germany,Netherlands,2,1,2-1,Germany,Netherlands,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1978,1978-06-25,Argentina,Netherlands,3,1,3-1,Argentina,Netherlands,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1930-1978-uruguay-italy-germany-brazil-england-argentina,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1982,1982-07-11,Italy,Germany,3,1,3-1,Italy,Germany,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1986,1986-06-29,Argentina,Germany,3,2,3-2,Argentina,Germany,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1990,1990-07-08,Germany,Argentina,1,0,1-0,Germany,Argentina,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1994,1994-07-17,Brazil,Italy,0,0,0-0 (pens: Brazil),Brazil,Italy,Brazil,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
1998,1998-07-12,France,Brazil,3,0,3-0,France,Brazil,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2002,2002-06-30,Germany,Brazil,0,2,0-2,Brazil,Germany,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2006,2006-07-09,Italy,France,1,1,1-1 (pens: Italy),Italy,France,Italy,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2010,2010-07-11,Netherlands,Spain,0,1,0-1,Spain,Netherlands,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2014,2014-07-13,Germany,Argentina,1,0,1-0,Germany,Argentina,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2018,2018-07-15,France,Croatia,4,2,4-2,France,Croatia,,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
2022,2022-12-18,Argentina,France,3,3,3-3 (pens: Argentina),Argentina,France,Argentina,Final,,https://www.fifa.com/en/tournaments/mens/worldcup/articles/world-cup-champions-1982-2022-italy-argentina-germany-brazil-france-spain,https://raw.githubusercontent.com/martj42/international_results/master/results.csv
