feature,importance_mean,importance_std
rating_gap_ab,0.09328644296716684,0.004921575165737579
team_b_rating,0.03097015935042937,0.002414307410870951
team_a_opp_avg_rating_10,0.02430618936338045,0.003142262665407182
team_a_rating,0.02095808523196683,0.0021865312445313568
team_b_opp_avg_rating_10,0.010708534091639122,0.0011662675341242443
away_confederation,0.010198054909717525,0.0007063095465852303
is_neutral,0.0069333711760456666,0.0017509271783260236
team_a_ga_10,0.005800958038863246,0.0008365071776501946
team_a_gf_10,0.004448100353472206,0.0010197328355962968
home_confederation,0.00442451712826466,0.0009714536727359923
gd_gap_5,0.003998997975159013,0.0003818918236757636
team_b_gd_5,0.0026355741038907475,0.00034207073135279526
team_b_gf_10,0.0014388222655836724,0.0002915303324226397
team_b_form_ppg_5,0.0013671347863938976,0.00038811149725844656
team_b_ga_10,0.0012336637348652423,0.00029050073629251926
team_a_gd_5,0.0010578126329828575,0.00023658600116153344
form_gap_ppg_5,0.00023344420798572242,0.0005953466274642142
team_b_host_flag,0.00019771505161902958,3.536906544810481e-05
same_confederation,0.00017113089144704663,0.0002572542063238122
team_b_rest_days,6.347774283790297e-05,3.437269876839251e-05
team_a_rest_days,5.378754665175123e-06,8.509121561654266e-05
rest_gap_ab,-1.721870702422468e-05,6.712478971591965e-05
team_a_form_ppg_5,-0.00016893794760213242,8.785433966902438e-05
team_a_host_flag,-0.00018640191297432108,0.0004136758093310373
competition_type,-0.0003278687450614104,0.00048588228292263544
